Sale_id;Date;Product_Name;Size;Quantity;Original Price Online;Original Price Offline;Discount Online (%);Applied Price;Order_Channel;Actual_Selling_Price;Revenue;Staff_id;Year;Month
S0001;2022-06-01;Cappuccino;L;4;75000;49000;7;49000;Offline;49000;196000;NV42;2022;6
S0002;2022-06-23;Mocha;S;5;59000;39000;10;53100;Online;53100;265500;NV34;2022;6
S0003;2023-08-28;Iced Black Coffee;L;5;69000;65000;13;65000;Offline;65000;325000;NV11;2023;8
S0004;2023-10-12;Caramel Phin Freeze;S;2;49000;49000;9;49000;Offline;49000;98000;NV45;2023;10
S0005;2023-04-01;Cookies & Cream;S;4;49000;69000;5;46550;Online;46550;186200;NV37;2023;4
S0006;2023-10-10;Latte;M;5;65000;65000;12;57200;Online;57200;286000;NV19;2023;10
S0007;2022-11-12;Americano;S;2;39000;55000;10;35100;Online;35100;70200;NV11;2022;11
S0008;2023-11-10;Americano;M;4;65000;29000;11;29000;Offline;29000;116000;NV45;2023;11
S0009;2022-05-18;Caramel Phin Freeze;L;5;59000;59000;5;59000;Offline;59000;295000;NV28;2022;5
S0010;2022-12-19;Cookies & Cream;S;4;59000;75000;6;75000;Offline;75000;300000;NV39;2022;12
S0011;2022-11-28;Mocha;M;5;59000;59000;15;50150;Online;50150;250750;NV8;2022;11
S0012;2023-05-28;Cookies & Cream;L;2;59000;75000;6;75000;Offline;75000;150000;NV45;2023;5
S0013;2021-03-21;Latte;L;3;49000;65000;6;65000;Offline;65000;195000;NV46;2021;3
S0014;2021-08-11;Cappuccino;M;5;59000;49000;14;49000;Offline;49000;245000;NV47;2021;8
S0015;2021-04-20;Americano;M;3;59000;65000;15;65000;Offline;65000;195000;NV2;2021;4
S0016;2023-03-23;Iced Black Coffee;M;5;59000;65000;14;50740;Online;50740;253700;NV11;2023;3
S0017;2022-04-10;Classic Phin Freeze;S;5;55000;55000;6;55000;Offline;55000;275000;NV34;2022;4
S0018;2021-12-10;Cookies & Cream;M;1;69000;59000;13;60030;Online;60030;60030;NV25;2021;12
S0019;2022-11-21;Mocha;M;1;59000;49000;8;49000;Offline;49000;49000;NV4;2022;11
